Designator,Val,Package,Mid X,Mid Y,Rotation,Side
Q2,AO3401A,SOT-23,253.5,-139.4625,-90,top
Q3,AO3400A,SOT-23,258.4,-117.7,0,top
Q4,AO3401A,SOT-23,262.4,-117.5,0,top
Q5,AO3400A,SOT-23,254.7,-112.2625,90,top
Q6,AO3401A,SOT-23,255.7,-108.3,90,top
Q7,AO3400A,SOT-23,258.2725,-127.3,0,top
Q8,AO3401A,SOT-23,262.1725,-128.3,0,top
Q9,SS8050-G,TRANS_SS8050-G,143.15,-113.9625,0,top
Q10,SS8050-G,TRANS_SS8050-G,139.65,-115.6125,0,top
Q11,2N7002T-7-F,SOT-523,126.6,-110.395,90,top
Q12,2N7002T-7-F,SOT-523,126.6,-107.955,-90,top
R1,100k,R_0402_1005Metric,160.7,-132.6,90,top
R2,1k,R_0402_1005Metric,172.01,-123.62,180,top
R3,10k,R_0402_1005Metric,169.8,-108.3,90,top
R4,100k,R_0402_1005Metric,174.5,-123.11,90,top
R5,1k,R_0402_1005Metric,160.65,-141.05,90,top
R6,120,C_0603_1608Metric,160.325,-138.5,-90,top
R7,10k,R_0402_1005Metric,256.4,-139.2,0,top
R8,100k,R_0402_1005Metric,256.4,-138.2,0,top
R9,100,C_0603_1608Metric,254.675,-131.65,0,top
R10,100,C_0603_1608Metric,254.5625,-118.5,90,top
R11,10k,R_0402_1005Metric,255.8625,-118.2,-90,top
R12,10k,R_0402_1005Metric,260.4,-120,180,top
R13,10k,R_0402_1005Metric,254.89,-132.95,180,top
R14,10k,R_0402_1005Metric,252.2,-136.54,90,top
R15,10k,R_0402_1005Metric,178.5,-122.9,90,top
R16,15k,R_0402_1005Metric,178.5,-120.89,90,top
R17,10k,R_0402_1005Metric,176.5,-122.9,90,top
R18,15k,R_0402_1005Metric,176.5,-120.89,90,top
R19,10k,R_0402_1005Metric,180.4,-123.4,90,top
R20,15k,R_0402_1005Metric,180.4,-121.4,90,top
R21,10k,R_0402_1005Metric,254.4,-105.29,-90,top
R22,100k,R_0402_1005Metric,255.6,-105.29,-90,top
R23,10k,R_0402_1005Metric,261.4,-124.64,-90,top
R24,100k,R_0402_1005Metric,262.5,-124.64,-90,top
R25,10k,R_0402_1005Metric,261.4,-121.8775,-90,top
R26,100k,R_0402_1005Metric,262.5,-121.8775,-90,top
R27,4.7k,C_0603_1608Metric,198.75,-131.75,90,top
R28,4.7k,C_0603_1608Metric,188,-128,-90,top
R29,100,C_0603_1608Metric,254.6,-116.0625,180,top
R30,10k,R_0402_1005Metric,254.3,-114.7625,0,top
R31,10k,R_0402_1005Metric,257,-111.2625,-90,top
R32,100,C_0603_1608Metric,254.51,-127.175,90,top
R33,10k,R_0402_1005Metric,255.81,-126.9,-90,top
R34,10k,R_0402_1005Metric,259.21,-129.6,180,top
R35,10k,R_0402_1005Metric,146.4,-107.6,0,top
